employee_id,age,revenu_mensuel,statut_marital,departement,poste,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,nombre_participation_pee,frequence_deplacement,annes_sous_responsable_actuel
72,26,4157,Marié(e),Commercial,Cadre Commercial,5,2,2,3,2,4,3,2,3,Oui,19.0,1,Occasionnel,0
73,33,13458,Célibataire,Consulting,Directeur Technique,15,15,14,1,3,4,3,3,3,Oui,12.0,0,Frequent,12
74,35,9069,Marié(e),Commercial,Cadre Commercial,9,9,8,2,3,1,4,2,4,Non,22.0,1,Frequent,8
75,35,4014,Marié(e),Consulting,Consultant,4,2,2,3,3,1,3,3,3,Oui,15.0,1,Occasionnel,2
76,31,5915,Divorcé(e),Consulting,Consultant,10,7,7,4,3,4,4,2,4,Non,22.0,1,Occasionnel,7
77,37,5993,Divorcé(e),Consulting,Tech Lead,7,7,5,1,2,3,3,4,3,Non,18.0,1,Occasionnel,7
78,32,6162,Marié(e),Consulting,Tech Lead,9,9,8,1,3,4,2,3,4,Oui,22.0,1,Occasionnel,8
79,38,2406,Célibataire,Consulting,Consultant,10,10,3,4,3,4,4,3,3,Non,11.0,0,Frequent,9
80,50,18740,Divorcé(e),Consulting,Directeur Technique,29,27,3,2,2,3,4,2,3,Oui,12.0,1,Occasionnel,8
81,59,7637,Célibataire,Commercial,Cadre Commercial,28,21,16,1,3,1,4,2,3,Non,11.0,0,Occasionnel,9
83,36,10096,Divorcé(e),Consulting,Manager,17,17,14,3,3,3,2,3,3,Non,13.0,3,Occasionnel,8
84,55,14756,Divorcé(e),Consulting,Senior Manager,21,5,0,4,3,3,3,3,3,Oui,14.0,3,Occasionnel,2
85,36,6499,Célibataire,Consulting,Tech Lead,6,6,5,2,2,2,3,3,3,Non,13.0,0,Frequent,3
86,45,9724,Divorcé(e),Consulting,Assistant de Direction,25,1,0,2,3,1,3,3,3,Non,17.0,1,Occasionnel,0
88,35,2194,Marié(e),Consulting,Assistant de Direction,5,3,2,2,3,1,4,2,3,Non,13.0,1,Frequent,2
90,36,3388,Marié(e),Consulting,Assistant de Direction,2,1,0,4,2,3,1,2,3,Oui,17.0,1,Occasionnel,0
91,59,5473,Célibataire,Commercial,Cadre Commercial,20,4,3,1,2,3,4,2,3,Non,11.0,0,Frequent,3
94,29,2703,Marié(e),Consulting,Assistant de Direction,6,5,4,3,3,2,4,3,4,Non,23.0,1,Occasionnel,4
95,31,2501,Célibataire,Consulting,Assistant de Direction,1,1,1,3,3,2,2,3,3,Non,17.0,0,Occasionnel,0
96,32,6220,Marié(e),Consulting,Assistant de Direction,10,10,4,2,3,2,2,3,3,Non,17.0,2,Occasionnel,9
97,36,3038,Marié(e),Consulting,Consultant,5,1,0,2,4,4,2,3,3,Non,12.0,0,Occasionnel,0
98,31,4424,Célibataire,Consulting,Tech Lead,11,11,7,3,3,4,4,3,4,Non,23.0,0,Occasionnel,8
100,35,4312,Célibataire,Commercial,Cadre Commercial,16,15,13,3,2,1,2,3,3,Non,14.0,0,Occasionnel,8
101,45,13245,Marié(e),Consulting,Directeur Technique,17,0,0,4,3,1,2,4,3,Oui,14.0,0,Occasionnel,0
102,37,13664,Célibataire,Consulting,Directeur Technique,16,5,2,1,3,3,1,4,3,Non,13.0,0,Occasionnel,2
103,46,5021,Divorcé(e),Ressources Humaines,Ressources Humaines,16,4,2,2,3,2,4,3,4,Oui,22.0,1,Occasionnel,2
104,30,5126,Marié(e),Consulting,Consultant,10,10,8,4,2,4,3,2,3,Oui,12.0,2,Occasionnel,0
105,35,2859,Célibataire,Consulting,Assistant de Direction,6,6,4,2,2,3,1,3,3,Non,18.0,0,Occasionnel,4
106,55,10239,Marié(e),Commercial,Cadre Commercial,24,1,0,1,3,4,4,3,3,Non,14.0,1,Occasionnel,0
107,38,5329,Divorcé(e),Consulting,Assistant de Direction,17,13,11,2,1,4,4,3,3,Oui,12.0,3,Aucun,9
110,34,4325,Marié(e),Consulting,Tech Lead,5,5,2,1,3,2,3,3,3,Non,15.0,0,Occasionnel,3
112,56,7260,Célibataire,Consulting,Tech Lead,37,6,4,4,1,4,1,2,3,Non,11.0,0,Occasionnel,2
113,23,2322,Divorcé(e),Commercial,Représentant Commercial,3,0,0,3,3,1,3,3,3,Non,13.0,1,Occasionnel,0
116,51,2075,Marié(e),Consulting,Consultant,10,4,2,4,3,4,2,3,4,Non,23.0,2,Occasionnel,3
117,30,4152,Marié(e),Consulting,Manager,11,11,10,3,2,4,1,3,3,Non,19.0,3,Occasionnel,8
118,46,9619,Célibataire,Commercial,Cadre Commercial,9,9,8,3,2,4,4,3,3,Non,16.0,0,Occasionnel,7
119,40,13503,Marié(e),Consulting,Manager,22,22,3,3,2,2,4,2,4,Non,22.0,1,Frequent,11
120,51,5441,Célibataire,Commercial,Cadre Commercial,11,10,7,3,3,4,4,1,4,Oui,22.0,0,Occasionnel,0
121,30,5209,Divorcé(e),Commercial,Cadre Commercial,11,11,8,3,2,2,2,2,3,Oui,12.0,3,Occasionnel,7
124,46,10673,Marié(e),Consulting,Manager,21,10,9,3,2,1,3,2,3,Oui,13.0,1,Frequent,5
125,32,5010,Célibataire,Commercial,Cadre Commercial,12,11,8,2,3,3,1,3,3,Non,16.0,0,Occasionnel,7
126,54,13549,Marié(e),Consulting,Directeur Technique,16,4,3,1,3,3,1,1,3,Non,12.0,1,Occasionnel,3
128,24,4999,Marié(e),Commercial,Cadre Commercial,4,3,2,1,3,3,1,2,4,Non,21.0,1,Occasionnel,2
129,28,4221,Marié(e),Commercial,Cadre Commercial,5,5,4,2,3,3,2,4,3,Non,15.0,0,Aucun,4
131,58,13872,Célibataire,Commercial,Cadre Commercial,38,37,10,4,3,3,3,2,3,Non,13.0,0,Occasionnel,8
132,44,2042,Marié(e),Consulting,Consultant,17,3,2,2,3,2,3,4,3,Non,12.0,1,Aucun,2
133,37,2073,Divorcé(e),Ressources Humaines,Ressources Humaines,7,3,2,3,3,1,4,3,4,Oui,22.0,0,Occasionnel,2
134,32,2956,Célibataire,Consulting,Assistant de Direction,1,1,0,4,3,1,4,3,3,Non,13.0,0,Occasionnel,0
137,20,2926,Célibataire,Consulting,Consultant,1,1,0,4,2,4,2,3,3,Oui,18.0,0,Frequent,0
138,34,4809,Célibataire,Consulting,Assistant de Direction,16,16,13,1,3,3,3,3,3,Non,14.0,0,Occasionnel,10
139,37,5163,Divorcé(e),Consulting,Manager,17,1,0,3,2,4,4,4,3,Non,14.0,1,Aucun,0
140,59,18844,Marié(e),Ressources Humaines,Senior Manager,30,3,2,3,2,4,4,3,4,Non,21.0,1,Aucun,2
141,50,18172,Marié(e),Consulting,Directeur Technique,28,8,3,1,3,2,1,2,3,Oui,19.0,0,Frequent,7
142,25,5744,Célibataire,Commercial,Cadre Commercial,6,6,4,3,2,3,4,3,3,Oui,11.0,0,Occasionnel,3
143,25,2889,Marié(e),Consulting,Assistant de Direction,2,2,2,4,2,4,3,3,3,Non,11.0,2,Occasionnel,1
144,22,2871,Célibataire,Consulting,Consultant,1,0,0,2,3,4,3,3,3,Non,15.0,0,Occasionnel,0
145,51,7484,Célibataire,Consulting,Manager,23,13,12,1,2,1,3,2,4,Non,20.0,0,Frequent,8
147,34,6074,Célibataire,Consulting,Consultant,9,9,7,1,1,3,4,3,4,Oui,24.0,0,Frequent,6
148,54,17328,Célibataire,Ressources Humaines,Senior Manager,23,5,3,4,4,4,3,3,3,Oui,12.0,0,Aucun,4
150,24,2774,Marié(e),Consulting,Consultant,6,5,3,2,3,3,3,3,3,Non,12.0,1,Occasionnel,2
151,34,4505,Divorcé(e),Consulting,Assistant de Direction,12,1,0,3,2,2,3,3,3,Non,15.0,1,Occasionnel,0
152,37,7428,Célibataire,Commercial,Cadre Commercial,12,5,3,3,3,4,1,3,3,Non,12.0,0,Occasionnel,3
153,34,11631,Célibataire,Consulting,Senior Manager,14,11,10,3,2,1,4,3,3,Non,12.0,0,Occasionnel,8
154,36,9738,Marié(e),Commercial,Cadre Commercial,10,9,7,2,3,4,3,3,3,Non,14.0,1,Frequent,8
155,36,2835,Divorcé(e),Consulting,Consultant,7,1,0,1,3,4,1,3,4,Non,22.0,1,Occasionnel,0
158,43,16959,Marié(e),Commercial,Senior Manager,25,25,12,3,3,4,4,4,3,Oui,12.0,2,Frequent,12
159,30,2613,Divorcé(e),Consulting,Assistant de Direction,10,10,7,1,1,3,3,2,4,Non,25.0,3,Frequent,9
160,33,6146,Marié(e),Commercial,Cadre Commercial,8,7,7,3,3,2,1,4,3,Non,13.0,1,Aucun,7
161,56,4963,Marié(e),Consulting,Assistant de Direction,7,5,4,2,3,2,1,3,3,Oui,18.0,3,Occasionnel,3
162,51,19537,Célibataire,Consulting,Directeur Technique,23,20,18,1,3,3,3,3,3,Non,13.0,0,Occasionnel,15
163,31,6172,Marié(e),Commercial,Cadre Commercial,12,7,7,2,1,3,2,2,3,Oui,18.0,0,Occasionnel,7
164,26,2368,Marié(e),Consulting,Assistant de Direction,5,5,4,3,2,2,3,2,3,Non,19.0,0,Occasionnel,3
165,58,10312,Marié(e),Consulting,Manager,40,40,10,4,3,4,4,2,3,Non,12.0,1,Occasionnel,6
167,19,1675,Célibataire,Commercial,Représentant Commercial,0,0,0,4,3,3,4,2,3,Oui,19.0,0,Occasionnel,0
169,22,2523,Marié(e),Consulting,Consultant,3,2,1,3,3,4,3,3,3,Non,14.0,1,Occasionnel,1
170,49,6567,Marié(e),Consulting,Tech Lead,16,15,11,3,3,1,3,2,3,Non,14.0,0,Occasionnel,11
171,43,4739,Célibataire,Consulting,Assistant de Direction,18,3,2,2,4,3,4,3,3,Non,12.0,0,Frequent,2
174,50,9208,Célibataire,Commercial,Cadre Commercial,16,2,2,3,3,4,4,3,3,Non,11.0,0,Frequent,1
175,31,4559,Marié(e),Commercial,Cadre Commercial,4,2,2,2,1,3,3,3,3,Oui,11.0,1,Occasionnel,2
176,41,8189,Divorcé(e),Commercial,Cadre Commercial,12,9,7,3,3,3,3,3,3,Oui,13.0,1,Occasionnel,7
177,26,2942,Marié(e),Ressources Humaines,Ressources Humaines,8,8,7,3,3,3,4,3,4,Non,23.0,1,Occasionnel,7
178,36,4941,Divorcé(e),Consulting,Tech Lead,7,3,2,2,3,2,4,3,4,Non,20.0,2,Occasionnel,1
179,51,10650,Célibataire,Consulting,Tech Lead,18,4,2,1,1,4,4,3,3,Non,15.0,0,Frequent,3
182,39,5902,Marié(e),Commercial,Cadre Commercial,17,15,11,4,2,3,3,4,3,Non,14.0,1,Occasionnel,9
183,25,8639,Marié(e),Commercial,Cadre Commercial,6,2,2,1,2,3,4,3,3,Non,18.0,0,Occasionnel,2
184,30,6347,Marié(e),Ressources Humaines,Ressources Humaines,12,11,9,3,3,4,4,1,3,Oui,19.0,0,Occasionnel,7
190,32,4200,Célibataire,Consulting,Consultant,10,5,4,1,3,1,1,4,4,Non,22.0,0,Occasionnel,4
192,45,3452,Célibataire,Consulting,Assistant de Direction,9,6,5,3,3,4,2,2,3,Non,13.0,0,Occasionnel,3
193,38,4317,Célibataire,Consulting,Assistant de Direction,19,3,2,4,3,3,2,3,4,Oui,20.0,0,Occasionnel,2
194,30,2632,Célibataire,Consulting,Assistant de Direction,5,5,4,1,3,3,3,2,3,Non,14.0,0,Occasionnel,4
195,32,4668,Divorcé(e),Commercial,Cadre Commercial,9,8,7,4,1,4,4,4,3,Non,17.0,3,Frequent,7
197,30,3204,Divorcé(e),Consulting,Assistant de Direction,8,3,2,4,3,1,4,3,3,Non,14.0,1,Occasionnel,2
198,30,2720,Célibataire,Consulting,Consultant,6,5,3,2,2,4,4,3,3,Non,13.0,0,Occasionnel,2
199,41,17181,Divorcé(e),Consulting,Senior Manager,21,7,6,4,2,1,2,2,3,Non,13.0,1,Frequent,7
200,41,2238,Marié(e),Consulting,Consultant,7,5,0,3,3,1,4,3,4,Non,21.0,1,Occasionnel,4
201,19,1483,Célibataire,Consulting,Consultant,1,1,0,2,3,2,4,3,3,Non,14.0,0,Occasionnel,0
202,40,5605,Divorcé(e),Consulting,Assistant de Direction,20,20,7,2,3,2,1,3,3,Non,11.0,1,Frequent,13
204,35,7295,Marié(e),Commercial,Cadre Commercial,10,10,8,3,3,2,1,3,3,Non,13.0,2,Occasionnel,6
205,53,2306,Marié(e),Commercial,Représentant Commercial,13,7,7,2,3,3,4,1,4,Oui,20.0,1,Occasionnel,5
206,45,2348,Divorcé(e),Consulting,Consultant,20,17,9,2,3,2,3,1,3,Non,18.0,1,Occasionnel,15
207,32,8998,Célibataire,Commercial,Cadre Commercial,9,9,8,2,3,4,4,3,3,Non,14.0,0,Frequent,7
208,29,4319,Marié(e),Consulting,Tech Lead,10,10,7,4,3,3,1,3,3,Non,13.0,1,Aucun,9
211,51,6132,Marié(e),Consulting,Tech Lead,10,1,0,2,2,3,3,3,3,Non,17.0,0,Occasionnel,0
214,58,3346,Marié(e),Consulting,Assistant de Direction,9,1,0,2,2,2,2,2,4,Oui,20.0,1,Occasionnel,0
215,40,10855,Marié(e),Commercial,Cadre Commercial,15,12,11,3,2,4,1,2,3,Non,11.0,1,Occasionnel,11
216,34,2231,Marié(e),Commercial,Représentant Commercial,6,4,3,3,3,3,4,3,3,Non,18.0,1,Frequent,2
217,22,2323,Marié(e),Consulting,Assistant de Direction,2,2,2,3,3,4,1,3,4,Non,24.0,2,Occasionnel,2
218,27,2024,Divorcé(e),Consulting,Assistant de Direction,6,2,2,4,3,2,4,1,3,Non,18.0,1,Aucun,2
221,28,2713,Marié(e),Consulting,Assistant de Direction,5,5,2,3,3,4,3,1,3,Non,11.0,1,Occasionnel,2
223,57,9439,Divorcé(e),Consulting,Manager,12,5,3,3,4,4,2,1,3,Oui,16.0,1,Occasionnel,4
224,27,2566,Divorcé(e),Consulting,Assistant de Direction,1,1,1,3,2,3,4,2,3,Oui,15.0,1,Aucun,1
226,50,19926,Célibataire,Consulting,Senior Manager,21,5,4,3,3,2,2,3,3,Non,15.0,0,Occasionnel,4
227,41,2451,Divorcé(e),Consulting,Assistant de Direction,13,9,8,1,3,3,1,3,3,Non,12.0,1,Occasionnel,8
228,30,9419,Marié(e),Commercial,Cadre Commercial,12,10,9,2,3,4,3,3,3,Non,12.0,1,Occasionnel,4
230,38,8686,Célibataire,Commercial,Cadre Commercial,12,8,3,1,2,4,3,4,4,Non,22.0,0,Occasionnel,7
231,32,3038,Célibataire,Consulting,Assistant de Direction,8,5,4,3,3,3,1,3,4,Non,20.0,0,Occasionnel,4
233,27,3058,Marié(e),Consulting,Assistant de Direction,6,5,2,3,3,2,4,2,3,Oui,16.0,1,Occasionnel,1
235,19,2325,Célibataire,Commercial,Représentant Commercial,1,0,0,3,1,1,1,4,4,Non,21.0,0,Frequent,0
238,36,2088,Célibataire,Consulting,Consultant,13,8,7,4,3,2,3,2,3,Non,12.0,0,Frequent,2
239,30,3072,Divorcé(e),Consulting,Consultant,12,12,9,3,3,1,3,3,3,Non,11.0,2,Aucun,10
240,45,5006,Divorcé(e),Commercial,Cadre Commercial,9,5,4,3,3,1,1,4,3,Oui,11.0,1,Occasionnel,3
241,56,4257,Divorcé(e),Consulting,Assistant de Direction,19,2,2,3,3,1,3,3,3,Oui,18.0,1,Occasionnel,2
242,33,2500,Célibataire,Consulting,Assistant de Direction,4,3,1,3,3,4,1,4,3,Non,14.0,0,Occasionnel,2
243,19,1102,Célibataire,Consulting,Consultant,1,1,0,2,2,4,3,2,4,Non,22.0,0,Occasionnel,0
244,46,10453,Divorcé(e),Commercial,Cadre Commercial,24,24,13,2,3,1,3,3,4,Non,25.0,3,Occasionnel,7
245,38,2288,Célibataire,Consulting,Consultant,2,2,2,3,3,4,3,3,3,Non,12.0,0,Occasionnel,1
246,31,3929,Marié(e),Consulting,Assistant de Direction,7,4,2,3,3,4,3,3,4,Oui,23.0,1,Occasionnel,2
247,34,2311,Célibataire,Consulting,Assistant de Direction,9,3,2,4,3,2,4,3,3,Non,15.0,0,Occasionnel,2
248,41,3140,Célibataire,Commercial,Représentant Commercial,4,4,3,2,3,2,4,2,4,Oui,22.0,0,Occasionnel,2
249,50,3690,Marié(e),Consulting,Consultant,5,3,2,3,2,3,4,2,3,Non,15.0,1,Occasionnel,2
250,53,4450,Divorcé(e),Consulting,Tech Lead,5,4,2,4,4,1,3,3,3,Non,11.0,2,Occasionnel,3
252,33,2756,Marié(e),Consulting,Assistant de Direction,8,8,7,4,3,2,4,3,3,Non,13.0,1,Occasionnel,6
253,40,19033,Marié(e),Consulting,Senior Manager,21,20,8,4,3,3,2,3,3,Non,14.0,1,Occasionnel,9
254,55,18722,Célibataire,Consulting,Directeur Technique,36,24,15,3,4,2,4,3,3,Non,11.0,0,Occasionnel,15
256,34,9547,Marié(e),Consulting,Tech Lead,10,10,9,4,2,3,3,2,3,Non,17.0,0,Frequent,9
258,51,13734,Célibataire,Consulting,Manager,21,7,7,4,3,2,3,3,3,Non,18.0,0,Occasionnel,0
259,52,19999,Marié(e),Consulting,Senior Manager,34,33,18,3,2,3,1,3,3,Non,14.0,1,Occasionnel,9
260,27,2279,Célibataire,Consulting,Assistant de Direction,7,7,7,4,3,2,4,2,3,Non,16.0,0,Occasionnel,3
261,35,5916,Marié(e),Consulting,Tech Lead,8,1,0,2,2,3,1,3,3,Oui,13.0,0,Occasionnel,1
262,43,2089,Divorcé(e),Consulting,Assistant de Direction,7,5,4,4,4,4,4,4,3,Non,14.0,3,Aucun,2
264,45,16792,Marié(e),Consulting,Senior Manager,22,20,8,1,2,4,4,3,4,Non,23.0,1,Aucun,8
267,37,3564,Marié(e),Consulting,Assistant de Direction,8,8,7,2,4,1,1,2,3,Oui,12.0,1,Occasionnel,7
269,35,4425,Célibataire,Consulting,Consultant,10,6,2,2,3,2,4,3,3,Non,11.0,0,Frequent,2
270,42,5265,Divorcé(e),Consulting,Tech Lead,11,5,3,3,3,3,2,3,3,Non,16.0,1,Aucun,2
271,38,6553,Marié(e),Consulting,Tech Lead,14,1,0,4,3,3,2,3,3,Non,14.0,0,Occasionnel,0
273,38,6261,Marié(e),Consulting,Tech Lead,9,7,7,4,3,4,1,1,3,Non,18.0,1,Occasionnel,7
274,27,4298,Marié(e),Consulting,Tech Lead,6,2,2,3,2,1,3,3,3,Non,19.0,1,Frequent,0
275,49,6804,Divorcé(e),Consulting,Tech Lead,7,7,7,4,3,4,1,3,3,Oui,15.0,2,Aucun,7
277,34,3815,Divorcé(e),Consulting,Assistant de Direction,5,5,3,4,3,3,4,4,3,Oui,17.0,1,Frequent,0
281,40,2741,Marié(e),Consulting,Consultant,15,7,2,3,3,4,3,4,3,Oui,15.0,1,Occasionnel,7
282,38,6673,Marié(e),Consulting,Manager,17,1,0,2,3,1,2,3,3,Oui,19.0,0,Occasionnel,0
283,29,7639,Marié(e),Commercial,Cadre Commercial,10,10,4,2,3,4,4,2,4,Non,22.0,3,Occasionnel,9
284,22,2328,Divorcé(e),Consulting,Assistant de Direction,4,4,2,4,4,2,1,2,3,Oui,16.0,1,Occasionnel,2
286,36,2153,Célibataire,Consulting,Consultant,8,8,1,2,3,4,1,3,3,Non,13.0,0,Frequent,7
287,40,4876,Marié(e),Consulting,Manager,5,3,2,4,2,4,4,1,3,Non,14.0,1,Aucun,2
288,46,9396,Divorcé(e),Consulting,Manager,17,4,2,4,3,1,3,3,3,Non,16.0,1,Occasionnel,3
291,32,10400,Marié(e),Commercial,Cadre Commercial,14,14,8,4,1,4,3,2,3,Non,11.0,0,Occasionnel,8
292,30,8474,Célibataire,Consulting,Tech Lead,12,11,8,3,2,3,3,3,4,Non,22.0,0,Aucun,8
293,27,9981,Célibataire,Commercial,Cadre Commercial,7,7,7,4,3,3,4,3,3,Non,14.0,0,Frequent,7
296,51,12490,Marié(e),Consulting,Directeur Technique,16,10,9,2,2,2,4,1,3,Non,16.0,2,Occasionnel,7
297,30,2657,Célibataire,Consulting,Assistant de Direction,8,5,2,4,3,1,3,3,3,Oui,11.0,0,Occasionnel,4
298,41,13591,Célibataire,Commercial,Senior Manager,16,1,0,4,3,4,3,3,3,Oui,18.0,0,Occasionnel,0
299,30,6696,Célibataire,Commercial,Cadre Commercial,9,6,3,3,2,1,3,2,3,Non,15.0,0,Frequent,1
300,29,2058,Célibataire,Consulting,Assistant de Direction,7,6,2,3,3,3,4,2,3,Non,14.0,0,Occasionnel,5
302,45,8865,Célibataire,Commercial,Cadre Commercial,23,19,7,4,2,4,4,3,3,Non,12.0,0,Aucun,8
303,54,5940,Marié(e),Commercial,Cadre Commercial,16,6,2,4,3,1,4,3,3,Non,14.0,1,Occasionnel,5
